Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
IVY;ASF;Apache Ant Committee;build-management;IVY-992;Major;Resolved;martineigenbrodt;maartenc;Ant;ivy:1 retrieve:1 honor:1 validate:1 false:1;ivy:3 retrieve:3 fails:2 run:2 ant:2 tested:1 current:1 trunk:1 call:1 one:1 modules:1 contains:1 custom:1 attributes:1 within:1 default:1 validate:1 flag:1 set:1 false:1 reproduce:1 download:1 zip:1 file:1 extract:1 files:1 put:1 jar:1 directory:1 change:1 path:1 build:1 publish:1 afterwards:1;reproduce:2 files:1 bug:1 release:1 fixed:1 problem:1 added:1 test:1 trunk:1 thanks:1 report:1;2009-01-06T13:33:20.000+0000;2009-02-13T11:41:30.000+0000;;2.0 2.0-RC2;2.1.0-RC1;3;2009-01-06T13:33:58.710+0000;2009-02-13T11:41:29.904+0000;0;1;2009-01-06T13:33:58.676+0000;2009-01-06T13:33:58.676+0000;0;;;;
IVY;ASF;Apache Ant Committee;build-management;IVY-995;Major;Resolved;lalyos;maartenc;Core;;ivy:66 retrieve:37 java:28 apache:27 resolve:12 core:12 net:11 pom:7 cache:6 http:5 maven:5 ant:5 dependency:4 default:4 downloading:3 parser:3 m2:3 test:2 found:2 trying:1 new:1 name:1 rev:1 got:1 following:1 exception:1 md:1 file:1 ok:1 successful:1 original:1 checking:1 module:1 revision:1 problem:1 occured:1 resolving:1 parse:1 execute:1;thanks:1 report:1 committed:1 fix:1 branch:1;2009-01-07T14:53:06.000+0000;2009-01-07T21:56:44.000+0000;;2.0-RC2;2.0;1;2009-01-07T21:56:44.826+0000;2009-01-07T21:56:44.826+0000;0;0;;;0;;;;
IVY;ASF;Apache Ant Committee;build-management;IVY-999;Major;Resolved;martineigenbrodt;maartenc;Core;ivy:1 deliver:1 fails:1 replace:1 dynamic:1 revision:1;ivy:84 resolve:51 test:42 default:31 c:29 latest:22 integration:21 file:19 java:18 ant:17 sources:16 research:16 revision:15 b:15 dependencies:14 jar:14 working:13 martin:13 cache:12 apache:11 resolving:11 local:9 build:7 found:7 dependency:6 module:5 version:5 name:5 rev:5 resolved:5 parsing:4 property:4 set:3 loading:3 settings:3 properties:3 cached:3 tried:3 md:3 artifacts:3 deliver:2 replace:2 dynamic:2 depends:2 bug:2 outcome:2 detected:2 sequence:2 tools:2 li:2 x:2 defined:2 deprecated:2 use:2 produced:2 report:2 evicted:2 modules:2 number:2 temp:2 delivery:2 delivering:2 sometimes:1 correctly:1 repository:1 contains:1 four:1 zip:1 setup:1 appended:1 following:1 encoding:1 info:1 organisation:1 publications:1 order:1 reproduce:1 delivered:1 expected:1 please:1 note:1 moving:1 line:1 higher:1 leads:1 reproduced:1 private:1 trunk:1 log:1 v:1 compiled:1 june:1 programme:1 os:1 windows:1 project:1 base:1 target:1 complete:1 load:1 definitions:1 resource:1 core:1 configure:1 http:1 user:1 element:1 instead:1 loaded:1 using:1 parser:1 parse:1 validate:1 true:1 refresh:1 false:1 configuration:1 support:1 transaction:1 pattern:1 directory:1 downloading:1 resolution:1 dl:1 search:1 done:1 download:1 overriding:1 previous:1 definition:1 unable:1 find:1 fri:1 jan:1 ivys:1 successful:1;patch:4 fix:4 thanks:4 problem:4 reproduce:2 bug:2 trunk:2 latest:2 integration:2 however:2 license:2 feedback:2 needed:1 contains:1 debuged:1 bit:1 seems:1 root:1 problems:1 thinks:1 clear:1 hi:1 martin:1 test:1 please:1 check:1 grant:1 option:1 time:1 granted:1 previous:1 upload:1 done:1 eclipse:1 hides:1 think:1 able:1 committed:1 give:1 try:1 provide:1 us:1 solve:1 believe:1 ivy:1 java:1 impossible:1 get:1 artifacts:1 data:1 loaded:1 related:1 may:1 resolved:1 disappeared:1 prove:1;2009-01-09T09:17:28.000+0000;2009-01-14T21:23:54.000+0000;;2.0 2.0-RC2;2.1.0-RC1;8;2009-01-09T09:18:36.389+0000;2009-01-15T21:49:15.409+0000;0;2;2009-01-09T09:18:36.350+0000;2009-01-14T07:08:19.691+0000;1;2009-01-14T07:08:19.691+0000;2009-01-14T07:08:19.691+0000;;
IVY;ASF;Apache Ant Committee;build-management;IVY-1000;Major;Resolved;lalyos;maartenc;;bad:1 artifact:1 type:1 resolved:1 source:1 used:1 instead:1 jar:1;ivy:17 retrieve:15 tools:12 ws:7 jar:7 default:6 sun:5 zeppelin:3 dependency:2 conflict:2 sources:2 downloading:2 http:2 maven:2 successful:2 artifacts:2 evicted:2 modules:2 ex:2 stream:2 number:2 following:1 name:1 rev:1 reports:1 decide:1 instead:1 source:1 resolution:1 report:1 resolve:1 dl:1 release:1 search:1 retrieving:1 users:1 trunk:1;tools:2 jar:2 retrieve:1 pattern:1 contains:1 classifier:1 token:1 sources:1 map:1 filename:1 solved:1 fixing:1 ivy:1;2009-01-09T18:12:52.000+0000;2009-03-16T23:41:25.000+0000;;2.0-RC2;2.1.0-RC1;2;2009-01-12T23:04:13.623+0000;2009-03-16T23:41:25.389+0000;0;0;;;0;;;;
IVY;ASF;Apache Ant Committee;build-management;IVY-1006;Major;Resolved;bckfnn;maartenc;Maven Compatibility;support:1 checksum:1;files:3 checksum:2 maven:2 created:1 different:1 format:1 moved:1 http:1 jar:1 think:1 ivy:1 match:1 mavens:1 support:1;fixed:1 trunk:1 give:1 try:1 thanks:1 report:1 works:1 fine:1 thank:1;2009-01-15T22:07:09.000+0000;2009-01-28T23:16:48.000+0000;;2.0 2.0-RC2;2.1.0-RC1;2;2009-01-28T23:16:48.156+0000;2009-01-30T19:32:58.606+0000;0;0;;;0;;;Duplicate:IVY-1026;
IVY;ASF;Apache Ant Committee;build-management;IVY-1007;Major;Resolved;jingxue;maartenc;Core;overwrite:1 completely:1 prevents:1 publishing:1 url:1 repositories:1;repository:2 put:1 throws:1 message:1 url:1 support:1 append:1 operations:1 moment:1 overwrite:1 true:1 even:1 artifact:1 published:1 exist:1;running:1 x:1 tip:1 way:1 updated:1 trunk:1 allow:1 overwrite:1 false:1 give:1 try:1 test:1 access:1 http:1 repository:1 publish:1 support:1;2009-01-18T15:30:07.000+0000;2009-02-04T21:15:25.000+0000;;2.0;2.1.0-RC1;2;2009-01-18T16:08:23.569+0000;2009-02-04T21:15:25.764+0000;0;0;;;0;;;;
IVY;ASF;Apache Ant Committee;build-management;IVY-1009;Major;Resolved;nathan.tomkins;maartenc;Core;ivy:1 hangs:1 publishing:1;ivy:3 publish:2 using:1 mode:1 manage:1 c:1 project:1 repository:1 set:1 works:1 fine:1 retrieving:1 artifacts:1 publishing:1 module:1 succeeds:1 expected:1 however:1 exit:1 return:1 command:1 prompt:1 run:1 verbose:1 debug:1 last:1 thing:1 prints:1 console:1 done:1;solved:2 also:1 hang:1 using:1 settings:1 file:1 ant:1 think:1 adding:1 explicit:1 system:1 exit:1 end:1 main:1 method:1 probably:1 still:1 hanging:1 around:1 give:1 try:1 test:1 see:1 really:1;2009-01-19T05:15:24.000+0000;2009-02-04T21:33:49.000+0000;;2.0 2.0-RC2;2.1.0-RC1;2;2009-01-20T03:18:08.186+0000;2009-02-04T21:33:49.517+0000;0;0;;;0;;;;
IVY;ASF;Apache Ant Committee;build-management;IVY-1010;Major;Resolved;zee;maartenc;Core;mess:1 produces:1 broken:1 many:1 cases:1;encoding:2 ivy:2 many:1 severe:1 issues:1 processing:1 general:1 rest:1 namely:1 check:1 byte:1 order:1 mark:1 presence:1 perform:1 guessing:1 spec:1 open:1 platform:1 default:1 write:1 even:1 output:1 escaping:1 character:1 data:1 recommend:1 send:1 one:1 programmers:1 course:1 rewrite:1 mess:1 using:1 standard:1 apis:1 reproduce:1 parts:1 try:1 resolving:1 publishing:1 module:1;fixed:1 trunk:1 please:1 give:1 try:1 possible:1 thanks:1;2009-01-20T20:27:39.000+0000;2010-12-23T20:53:41.000+0000;;2.0-RC2;2.3.0-RC1;1;2010-12-23T20:53:41.626+0000;2010-12-23T20:53:41.626+0000;0;0;;;0;;;;
IVY;ASF;Apache Ant Committee;build-management;IVY-1012;Major;Resolved;xavier;xavier;;work:1 expected:1;seems:1 feature:1 work:1 expected:1 even:1 sure:1 works:1 needs:1 investigation:1 also:1 good:1 opportunity:1 deal:1 ivy:1;modules:2 module:2 work:2 revision:2 make:2 done:1 investigation:1 figured:1 working:1 descriptor:1 fixed:1 trunk:1 descriptors:1 also:1 dynamic:1 resolved:1 expiration:1 ivy:1 moment:1 probably:1 merged:1 x:1 branch:1 change:1 interface:1 one:1 protected:1 method:1 wold:1 mean:1 breaking:1;2009-01-24T09:48:21.000+0000;2009-01-24T11:04:31.000+0000;;2.0;2.1.0-RC1;1;2009-01-24T11:04:31.502+0000;2009-01-24T11:04:31.502+0000;0;0;;;0;;;;
IVY;ASF;Apache Ant Committee;build-management;IVY-1024;Minor;Resolved;carltonb;maartenc;Ant;minor:1 fixes:1 ivy:1 report:1;ivy:2 things:1 bothering:1 report:1 broken:1 link:1 logo:1 display:1 revision:1 number:1 module:1 reported:1 simple:1 fixes:1;patch:2 thanks:2 issue:1 lot:1 contribution:1 applied:1 trunk:1 changed:1 way:1 revision:1 displayed:1 little:1 give:1 try:1 looks:1 good:1 end:1 picking:1;2009-01-29T20:21:48.000+0000;2009-01-29T22:43:43.000+0000;;2.0;2.1.0-RC1;3;2009-01-29T20:23:01.961+0000;2009-01-30T16:51:02.371+0000;0;1;2009-01-29T20:23:01.711+0000;2009-01-29T20:23:01.711+0000;1;2009-01-29T20:23:01.711+0000;2009-01-29T20:23:01.711+0000;;
