Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
MAHOUT;ASF;Apache Mahout Committee;machine-learning;MAHOUT-112;Major;Closed;jukkaz;srowen;;maven:1 jetty:1 relocated:1;jetty:9 maven:7 taste:4 web:4 info:3 pom:3 project:3 build:2 found:2 configuration:2 seen:1 building:1 release:1 candidate:1 current:1 mahout:1 trunk:1 downloading:1 http:1 jar:1 error:1 failure:1 required:1 check:1 goal:1 name:1 correct:1 unable:1 download:1 artifact:1 repository:1 relocated:1 following:1 change:1 solves:1 issue:1 index:1 revision:1 directory:1 version:1 war:1;;2009-03-30T16:42:04.000+0000;2009-04-07T04:56:42.000+0000;;0.1;0.1;0;;;0;0;;;0;;;;
MAHOUT;ASF;Apache Mahout Committee;machine-learning;MAHOUT-113;Minor;Closed;jukkaz;adeneche;;failure:1 mahout:1 examples:1;assert:10 framework:6 java:6 mahout:4 test:3 failure:3 apache:3 ga:3 watchmaker:3 cd:3 tool:3 time:2 elapsed:2 sec:2 getting:1 following:1 running:1 clean:1 install:1 fresh:1 checkout:1 trunk:1 set:1 tests:1 run:1 failures:1 errors:1 skipped:1 expected:1 fail:1 attach:1 output:1 file:1;test:2 time:2 problem:2 patch:2 times:2 attached:1 output:1 seem:1 recall:1 seeing:1 clean:1 install:1 works:1 let:1 slide:1 think:1 found:1 caused:1 bad:1 random:1 generation:1 data:1 resolve:1 issue:1 included:1 loop:1 repeat:1 many:1 repeated:1 updated:1 current:1 trunk:1;2009-03-30T16:47:15.000+0000;2009-10-11T08:00:30.000+0000;;;0.2;4;2009-03-30T16:48:19.932+0000;2009-10-11T06:22:03.062+0000;0;3;2009-03-30T16:48:19.889+0000;2009-10-11T06:22:02.927+0000;2;2009-06-08T14:32:42.612+0000;2009-10-11T06:22:02.927+0000;;
MAHOUT;ASF;Apache Mahout Committee;machine-learning;MAHOUT-114;Minor;Closed;gsingers;gsingers;;release:1 process:1 needs:1 sign:1 published:1 dependencies:1;releasing:1 need:1 jars:1 poms:1 signed:1 release:1 process:1;release:3 look:3 artifacts:3 signing:2 sign:2 verify:2 maven:2 jars:2 see:2 published:2 really:2 looking:1 rationale:1 understand:1 concept:1 overall:1 covering:1 every:1 artifact:1 people:1 first:1 however:1 publication:1 dependencies:1 take:1 care:1 believe:1 issue:1 b:1 c:1 install:1 versions:1 count:1 get:1 separately:1 thought:1 basically:1 said:1 dependency:1 yeah:1 extent:1 big:1 deal:1 signature:1 allow:1 someone:1 downloaded:1 thing:1 uploaded:1 tentatively:1 resolving:1 seems:1 happens:1 run:1;2009-04-07T02:11:41.000+0000;2009-10-19T23:49:12.000+0000;;;0.2;5;2009-10-16T13:22:27.086+0000;2009-10-19T23:49:12.211+0000;0;0;;;0;;;;
MAHOUT;ASF;Apache Mahout Committee;machine-learning;MAHOUT-118;Major;Closed;eelstretching;jeastman;Classification Clustering Collaborative Filtering Math;mahout:1 needs:1 respect:1 file:1 system:1 type:1 getting:1 input:1 output:1 path:1;apache:2 fs:2 file:2 system:2 type:2 input:2 output:2 uses:1 get:1 use:1 single:1 argument:1 version:1 takes:1 job:1 configuration:1 always:1 return:1 default:1 usually:1 rather:1 using:1 used:1 paths:1 particularly:1 problem:1 amazon:1 elastic:1 data:1 typically:1 reside:1;mahout:5 argument:4 one:3 path:3 first:3 remaining:2 instance:2 apache:2 ga:2 watchmaker:2 line:2 obvious:2 available:2 provide:2 getting:2 working:2 probably:2 require:2 beyond:2 scope:2 understanding:2 patch:1 trunk:1 fixes:1 occurrences:1 except:1 get:1 use:1 two:1 version:1 appropriate:1 committed:1 particular:1 case:1 creates:1 input:1 output:1 paths:1 automatically:1 think:1 default:1 file:1 system:1 given:1 comment:1 going:1 mark:1 issue:1 fixed:1 thanks:1;2009-04-16T20:22:30.000+0000;2009-04-19T23:18:09.000+0000;;0.2 0.1;0.2 0.1;4;2009-04-16T20:51:32.981+0000;2009-04-19T23:18:09.267+0000;0;1;2009-04-16T20:51:32.936+0000;2009-04-16T20:51:32.936+0000;1;2009-04-16T20:51:32.936+0000;2009-04-16T20:51:32.936+0000;;
MAHOUT;ASF;Apache Mahout Committee;machine-learning;MAHOUT-128;Major;Closed;bmargulies;;;maven:1 parent:1 included:1 build:1;maven:1 parent:1 included:1 module:1 pom:1 installed:1 building:1 project:1 depends:1 mahout:1 core:1 fails:1;parent:3 maven:3 pom:3 get:2 problem:2 installed:2 patch:2 following:1 apply:1 errors:1 find:1 version:1 yes:1 sent:1 wrong:1 string:1 module:1 use:1 right:1 committed:1;2009-05-29T15:40:27.000+0000;2009-06-04T18:15:09.000+0000;;;0.3;4;2009-05-29T16:31:07.766+0000;2009-06-04T18:15:09.881+0000;0;1;2009-05-29T17:19:50.078+0000;2009-05-29T17:19:50.078+0000;0;;;;
MAHOUT;ASF;Apache Mahout Committee;machine-learning;MAHOUT-129;Major;Closed;bmargulies;;Clustering;sample:1 expose:1 control:1;driver:1 forces:1 parameter:1 naming:1 problems:1;parameter:2 named:2 k:2 patch:1 quite:1 right:1 follows:1 thought:1 meant:1 passed:1 undocumented:1 called:1 whatever:1 implicitly:1 number:1 input:1 clusters:1 argument:1 incorrectly:1 changed:1 r:1 committed:1 change:1 tests:1 run:1 rename:1 completed:1;2009-05-29T17:00:17.000+0000;2009-05-29T23:08:54.000+0000;;0.2;0.3;3;2009-05-29T17:16:33.258+0000;2009-05-29T23:08:54.287+0000;0;1;2009-05-29T17:00:35.366+0000;2009-05-29T17:00:35.366+0000;1;2009-05-29T17:00:35.366+0000;2009-05-29T17:00:35.366+0000;;
MAHOUT;ASF;Apache Mahout Committee;machine-learning;MAHOUT-141;Minor;Closed;gsingers;gsingers;Clustering;cluster:2 centroid:1 improperly:1 reported:1 points:1 associated:1 w:1;cluster:2 centroid:2 center:2 discussion:1 http:1 www:1 search:1 document:1 class:1 returns:1 zero:1 points:1 correct:1 return:1 case:1;issue:2 marking:1 sounds:1 like:1 small:1 bug:1 pinging:1 still:1 active:1 case:1 package:1 appears:1 resolved:1 appear:1 problem:1 canopy:1 packages:1 either:1 even:1 probably:1 treated:1 separate:1;2009-06-29T17:19:53.000+0000;2009-12-12T11:29:10.000+0000;;0.1;0.3;2;2009-12-11T20:46:09.751+0000;2009-12-12T02:45:31.347+0000;0;0;;;0;;;;
MAHOUT;ASF;Apache Mahout Committee;machine-learning;MAHOUT-144;Major;Closed;bmargulies;gsingers;;maven:1 prep:1 enforcing:1 code:1 style:1;maven:4 version:3 parents:2 parent:2 top:2 level:2 release:2 profile:2 consistent:2 attached:1 things:1 sorts:1 modules:1 project:1 management:1 pom:1 numbers:1 source:1 control:1 urls:1 corrected:1 new:1 module:1 hold:1 initially:1 backup:1 current:1 really:1 want:1 use:1 snapshot:1 turns:1 creates:1 giant:1 pile:1 complaints:1 next:1 step:1 process:1 come:1 set:1 rules:1 community:1 desires:1;maven:7 snapshot:6 directory:4 like:3 parent:3 eclipse:3 http:3 apache:3 grant:2 jar:2 code:2 seeing:2 pretty:1 sure:1 using:1 features:1 doubt:1 compile:1 perhaps:1 released:1 add:1 might:1 want:1 cherry:1 pick:1 patch:1 put:1 back:1 works:1 seems:1 redundant:1 meant:1 pom:1 area:1 contains:1 useful:1 things:1 across:1 modules:1 separately:1 pieces:1 expected:1 change:1 much:1 seem:1 guess:1 following:1 first:1 item:1 list:1 builds:1 projects:1 project:1 called:1 mahout:1 build:1 supply:1 see:1 html:1 page:1 links:1 mostly:1 points:1 confluence:1 display:1 connecting:1 committed:1 revision:1 kept:1 people:1 repository:1 core:1 required:1 still:1 clever:1 personal:1 settings:1 tried:1 flushing:1 local:1 version:1 shows:1 related:1 changes:1 big:1 fan:1 broken:1 windows:1 approach:1 quality:1 completed:1 right:1;2009-07-11T20:44:19.000+0000;2009-12-06T16:06:34.000+0000;;0.2;0.3;10;2009-07-12T11:33:04.650+0000;2009-12-06T16:06:34.054+0000;0;2;2009-07-11T20:44:43.984+0000;2009-07-17T00:45:42.855+0000;1;2009-07-11T20:44:43.984+0000;2009-07-11T20:44:43.984+0000;;
MAHOUT;ASF;Apache Mahout Committee;machine-learning;MAHOUT-152;Trivial;Closed;gsingers;gsingers;Clustering;distance:1 method:1 bug:1 comparing:1 sizes:1;centroid:3 size:2 line:1 compare:1 input:1 vector:1;committed:1;2009-07-27T01:26:36.000+0000;2009-07-27T01:28:57.000+0000;;;0.3;1;2009-07-27T01:28:57.316+0000;2009-07-27T01:28:57.316+0000;0;0;;;0;;;;
MAHOUT;ASF;Apache Mahout Committee;machine-learning;MAHOUT-159;Critical;Closed;mdesnoyer;gsingers;Math;conform:1 java:1 standard:1;equals:2 hash:1 codes:1 equal:1 even:1 though:1 may:1 return:1 true:1 also:1 logic:1 inconsistent:1 takes:1 account:1 name:1 parameter:1;hash:6 different:4 patch:3 tests:3 added:2 fix:2 sure:2 test:2 suggestion:2 method:2 size:2 non:2 vectors:2 hashes:2 inconsistency:1 includes:1 make:1 happen:1 missed:1 broken:1 first:1 use:1 instead:1 iterating:1 iterate:1 zeros:1 also:1 include:1 dimensions:1 code:1 sized:1 addition:1 indexes:1 zero:1 elements:1 included:1 values:1 positions:1 think:1 want:1 fairly:1 ted:1 vector:1 element:1 index:1 seems:1 fail:1 investigated:1 yet:1 likely:1 wrong:1 still:1 sorry:1 get:1 reason:1 check:1 committed:1 revision:1;2009-08-04T17:02:55.000+0000;2009-09-01T19:22:36.000+0000;;0.2;0.2;8;2009-08-04T17:05:15.004+0000;2009-09-01T19:22:36.169+0000;0;4;2009-08-04T17:05:15.000+0000;2009-08-18T17:23:24.950+0000;4;2009-08-04T17:05:15.000+0000;2009-08-18T17:23:24.950+0000;;
