Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
VYSPER;ASF;Apache MINA Committee;network-server;VYSPER-2;Trivial;Closed;mjakl;;;subversion:1 properties:1 wrong:1 within:1 source:1 files:1;version:2 date:2 source:1 files:1 annotated:1 revision:1 apr:1 according:1 http:1 mina:1 apache:1 developer:1 guide:1 html:1 rev:1 replaced:1 course:1;tags:1 long:1 gone:1;2009-04-26T20:02:58.000+0000;2010-04-29T07:23:35.000+0000;;;;1;2010-04-29T07:23:35.104+0000;2010-04-29T07:23:35.104+0000;0;0;;;0;;;;
VYSPER;ASF;Apache MINA Committee;network-server;VYSPER-7;Major;Resolved;brainlounge;;;make:1 easy:1 swap:1 persistence:1 layer:1;persistence:4 different:3 modules:3 e:2 g:2 roster:2 temp:2 implementations:2 memory:2 parts:1 moment:1 switching:1 layer:1 means:1 searching:1 replacing:1 specific:1 much:1 easier:1 done:1 centralized:1 manager:1 provider:1 factory:1 swap:1 one:1 strike:1;;2009-03-26T11:10:18.000+0000;2009-06-10T09:16:31.000+0000;;;;0;;;0;0;;;0;;;;
VYSPER;ASF;Apache MINA Committee;network-server;VYSPER-17;Major;Resolved;brainlounge;brainlounge;;create:1 centralized:1 persistence:1 service:1 handling:1;persistence:4 service:3 example:2 implementations:2 memory:2 one:2 change:2 central:2 different:1 parts:1 extensions:1 need:1 user:1 accounts:1 roster:1 messages:1 may:1 rely:1 jackrabbit:1 technology:1 exchanged:1 currently:1 required:1 every:1 great:1 place:1 storage:1 manager:1 implementing:1 pattern:1 choose:1 specific:1 implementation:1 reversed:1 announce:1 availability:1 registry:1 appropriate:1 provided:1;storage:11 want:9 one:8 extension:7 different:5 interface:5 every:5 implementation:4 mix:4 kind:4 specific:4 layer:3 many:3 extensions:3 currently:3 implementing:3 using:3 need:3 pms:3 use:3 people:3 memory:3 good:2 idea:2 see:2 apache:2 needs:2 agnostic:2 right:2 user:2 roster:2 somebody:2 say:2 start:2 kinds:2 easily:2 working:2 first:2 pattern:2 uses:2 switch:2 choose:2 try:2 typically:2 example:2 test:2 maybe:2 even:2 might:2 implement:2 two:2 central:1 persistence:1 used:1 parts:1 system:1 concerning:1 http:1 site:1 index:1 html:1 hand:1 simple:1 cover:1 requirements:1 service:1 defines:1 defining:1 operations:1 underlying:1 vertical:1 accounts:1 come:1 optional:1 single:1 let:1 possible:1 may:1 chose:1 performance:1 testing:1 whatever:1 reasons:1 mechanism:1 plug:1 together:1 open:1 suggestions:1 soon:1 commit:1 review:1 came:1 floating:1 around:1 gets:1 assigned:1 matching:1 thinking:1 persistency:1 bit:1 deterred:1 die:1 advantage:1 server:1 disadvantage:1 course:1 order:1 general:1 manner:1 take:1 extra:1 steps:1 essentially:1 place:1 great:1 think:1 sure:1 get:1 suggest:1 rephrase:1 experiences:1 james:1 often:1 writing:1 unit:1 mock:1 embedded:1 derby:1 jackrabbit:1 large:1 scale:1 someone:1 mailing:1 privately:1 exist:1 atm:1 programming:1 message:1 archiving:1 able:1 developer:1 define:1 lock:1 sake:1 running:1 run:1 access:1 programmer:1 add:1 users:1 bound:1 existing:1 preferred:1 ones:1 please:1 note:1 class:1 provides:1 common:1 routines:1 invents:1 wheel:1 temp:1 authentication:1 thing:1 mechanisms:1 diverge:1 terms:1 work:1 file:1 based:1 latter:1 modern:1 distributed:1 approaches:1 provide:1 scalable:1 approach:1 mapping:1 document:1 easier:1 understand:1 done:1;2009-04-24T21:34:58.000+0000;2009-05-13T19:43:22.000+0000;;;;5;2009-04-25T09:41:47.090+0000;2009-05-13T19:43:22.796+0000;0;0;;;0;;;;
VYSPER;ASF;Apache MINA Committee;network-server;VYSPER-19;Minor;Closed;mjakl;;;creating:1 list:1 adding:1 single:1 module:1 necessary:1;single:2 add:1 module:1 server:1 currently:1 list:1 created:1 element:1 method:1 adding:1 modules:1 available:1;module:6 run:3 added:3 initialize:3 good:3 patch:2 issue:2 tests:2 semantics:2 initialized:2 working:2 maybe:2 test:2 resolve:1 note:1 initializes:1 changed:1 slightly:1 using:1 gets:1 next:1 considered:1 still:1 thanks:1 ran:1 call:1 fix:1 copy:1 point:1 modules:1 see:1 keep:1 open:1 tested:1 locally:1 try:1 separate:1 commit:1 acceptable:1 course:1 sure:1 changing:1 bad:1 thing:1 noticed:1 write:1 capture:1 future:1 seen:1 changes:1 yesterday:1 conflicts:1 looks:1 yes:1 probably:1 idea:1;2009-04-26T20:37:58.000+0000;2009-04-28T09:39:31.000+0000;;;;4;2009-04-26T20:42:46.746+0000;2009-04-28T15:13:09.159+0000;0;1;2009-04-26T20:42:46.714+0000;2009-04-26T20:42:46.714+0000;1;2009-04-26T20:42:46.714+0000;2009-04-26T20:42:46.714+0000;;
VYSPER;ASF;Apache MINA Committee;network-server;VYSPER-82;Critical;Closed;mjakl;niklas;;definitions:1 propagated:1;http:5 feature:5 query:4 jabber:4 protocol:4 disco:3 info:3 identity:3 var:2 affected:1 component:1 parser:1 got:1 following:1 stanza:1 category:1 type:1 service:1 reports:1 correctly:1 inner:1 elements:1 see:1 default:1 www:1 defaulting:1;fixed:1 time:1;2009-06-27T19:18:27.000+0000;2011-01-16T15:36:09.000+0000;;;0.7;1;2011-01-16T15:36:09.555+0000;2011-01-16T15:36:09.555+0000;0;0;;;0;;;;
VYSPER;ASF;Apache MINA Committee;network-server;VYSPER-88;Major;Closed;mjakl;mjakl;XEP0060 PubSub;disco:1 info:1 incomplete:1;features:4 items:3 add:2 implemented:1 disco:1 info:1 response:1 see:1 http:1 extensions:1 html:1 overview:1 available:1 yet:1 ready:1 though:1 access:1 open:1 delete:1 item:1 ids:1 persistent:1 publish:1 retrieve:1 subscribe:1;included:1 implemented:1 features:1 new:1 ones:1 added:1 implementing:1 feature:1;2009-07-03T08:49:10.000+0000;2009-07-03T22:06:31.000+0000;;;;1;2009-07-03T22:06:31.718+0000;2009-07-03T22:06:31.718+0000;0;0;;;0;;;;
VYSPER;ASF;Apache MINA Committee;network-server;VYSPER-93;Minor;Closed;mjakl;niklas;core protocol;might:1 duplicate:1 attributes:1 allowed:1;make:1 sense:1 set:1 attribute:1 objects:1 attributes:1 compared:1 name:1 value:1 rather:1 list:1 allows:1 duplicates:1;good:1 catch:1 sounds:1 reasonable:1 stick:1 list:1 though:1 check:1 constructor:1 somebody:1 finds:1 elegant:1 solution:1 reconsider:1 opinion:1 fixed:1 rev:1;2009-07-05T11:53:39.000+0000;2011-01-16T21:49:43.000+0000;;;0.7;2;2009-07-05T12:27:17.778+0000;2011-01-16T21:49:43.277+0000;0;0;;;0;;;;
VYSPER;ASF;Apache MINA Committee;network-server;VYSPER-96;Critical;Closed;mjakl;mjakl;XEP0060 PubSub;constructors:1 parameter:1 meant:1 prefix:1 module:1 uses:1;recent:1 discussion:1 brought:1 deep:1 misunderstanding:1 handling:1 module:1 requiring:1 complete:1 reworking:1 tests:1 code:1;;2009-07-06T06:15:54.000+0000;2009-07-06T20:26:06.000+0000;;;;0;;;0;0;;;0;;;;
VYSPER;ASF;Apache MINA Committee;network-server;VYSPER-97;Major;Closed;niklas;niklas;;pidgin:1 fails:1 connect:1;fails:2 due:2 ga:2 client:2 pidgin:1 connect:1 following:1 stanza:1 urn:1 ns:1 mechanism:1 plain:1 http:1 www:1 google:1 talk:1 protocol:1 uses:1 full:1 bind:1 result:1 true:1 problem:1 boils:1 bug:1 handling:1 get:1 element:1 multiple:1 declarations:1 return:1 error:1 disconnect:1;fixed:1 rev:1;2009-07-06T09:36:52.000+0000;2009-07-15T09:00:02.000+0000;;;;1;2009-07-15T09:00:02.113+0000;2009-07-15T09:00:02.113+0000;0;0;;;0;;;;
VYSPER;ASF;Apache MINA Committee;network-server;VYSPER-98;Major;Closed;niklas;niklas;core protocol;server:1 return:1 content:1 complete:1 stanza:1 error:1 replies:1;currently:1 returns:1 copy:1 complete:1 request:1 stanza:1 sending:1 error:1 reply:1 breaks:1 compatibility:1 least:1 smack:1 seems:1 go:1 examples:1;fixed:1 rev:1;2009-07-14T14:09:29.000+0000;2009-07-14T22:11:34.000+0000;;;;1;2009-07-14T22:11:34.944+0000;2009-07-14T22:11:34.944+0000;0;0;;;0;;;;
