Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
CRUNCH;ASF;Apache Crunch Committee;library;CRUNCH-1;Major;Closed;jghoman;jghoman;;update:1 pom:1 apache:1 transition:1;top:1 level:1 pom:1 needs:1 updated:1 apache:1;separate:3 adds:2 license:2 apache:2 pom:2 version:2 patch:1 new:1 name:1 updates:1 git:1 mailing:1 list:1 removes:1 distribution:1 management:1 none:1 currently:1 also:1 header:1 thank:1 couple:1 thoughts:1 swapping:1 default:1 releases:1 instead:1 thinking:1 need:1 propagate:1 changes:1 examples:1 scrunch:1 well:1 object:1 putting:1 yes:1 done:1 seems:1 like:1 either:1 way:1 fine:1 defer:1 judgement:1 created:1 task:1 thanks:1 close:1 issues:1;2012-07-05T21:27:33.000+0000;2012-07-07T17:27:28.000+0000;;;0.3.0;7;2012-07-05T21:28:57.399+0000;2012-09-17T06:41:29.213+0000;0;1;2012-07-05T21:28:57.375+0000;2012-07-05T21:28:57.375+0000;1;2012-07-05T21:28:57.375+0000;2012-07-05T21:28:57.375+0000;"dependent:CRUNCH-5
dependent:CRUNCH-6";
CRUNCH;ASF;Apache Crunch Committee;library;CRUNCH-2;Blocker;Closed;jghoman;jwills;;update:1 licenses:1 apache:1 change:1 package:1 layout:1;change:2 apache:2 structure:2 someone:1 needs:1 license:1 headers:1 assigning:1 time:1 package:1 go:1 sooner:1 done:1 better:1 big:1 affect:1 patches:1 flight:1 assign:1 copyright:1 project:1 work:1 packaging:1 may:1 well:1 stopping:1 contributions:1;apache:3 blocker:3 josh:3 legal:2 release:2 headers:2 working:1 stuff:1 agree:1 switch:1 contribution:1 contributors:1 cleared:1 contribute:1 companies:1 http:1 www:1 html:1 suggest:1 replacing:1 moving:1 mention:1 notice:1 file:1 soon:1 feels:1 comfortable:1 grant:1 progress:1 probably:1 agent:1 check:1 flume:1 folks:1 script:1 often:1 regards:1 sounds:1 good:1 close:1 issues:1;2012-07-05T21:31:08.000+0000;2012-07-07T22:35:21.000+0000;;;0.3.0;5;2012-07-05T21:33:39.481+0000;2012-09-17T06:41:29.539+0000;0;1;2012-07-07T19:31:30.506+0000;2012-07-07T19:31:30.506+0000;1;2012-07-07T19:31:30.506+0000;2012-07-07T19:31:30.506+0000;;
CRUNCH;ASF;Apache Crunch Committee;library;CRUNCH-10;Major;Closed;jghoman;jwills;;still:1 header:1;http:1 bit:1 looks:1 like:1 got:1 missed:1 grand:1 update:1;fixed:1 patch:1 thanks:1 tracking:1 time:1 w:1 button:1 clicked:1 submitted:1 close:1 issues:1;2012-07-10T19:59:40.000+0000;2012-07-10T22:22:14.000+0000;;;0.3.0;4;2012-07-10T22:16:59.994+0000;2012-09-17T06:41:29.402+0000;0;1;2012-07-10T22:17:47.989+0000;2012-07-10T22:17:47.989+0000;1;2012-07-10T22:17:47.989+0000;2012-07-10T22:17:47.989+0000;;
CRUNCH;ASF;Apache Crunch Committee;library;CRUNCH-11;Major;Closed;jghoman;jghoman;;points:1 old:1 package:1 layout:1;crunch:4 class:3 java:2 test:1 apache:1;alpha:2 constructor:2 patch:1 replaces:1 apache:1 however:1 testing:1 test:1 fails:1 trying:1 reference:1 exist:1 code:1 path:1 one:1 version:1 imagine:1 getting:1 exercised:1 often:1 helpful:1 routinely:1 run:1 tests:1 supported:1 versions:1 maven:1 makes:1 bit:1 pain:1 regardless:1 ok:1 missing:1 taken:1 care:1 later:1 committed:1 thank:1 close:1 issues:1;2012-07-10T20:00:43.000+0000;2012-07-10T22:49:01.000+0000;;;0.3.0;3;2012-07-10T21:33:09.872+0000;2012-09-17T06:41:30.428+0000;0;1;2012-07-10T21:33:09.825+0000;2012-07-10T21:33:09.825+0000;1;2012-07-10T21:33:09.825+0000;2012-07-10T21:33:09.825+0000;;
CRUNCH;ASF;Apache Crunch Committee;library;CRUNCH-13;Major;Closed;gabriel.reid;gabriel.reid;;crash:1 pipelines:1 containing:1 reflection:1 based:1 data:1;reflection:3 based:3 using:2 hash:2 data:2 involves:2 schemas:1 default:1 crashes:1 due:1 records:1 able:1 calculate:1 code:1 means:1 pipeline:1 group:1 key:1 reducer:1;patch:1 resolve:1 issue:1 well:1 performing:1 small:1 cleanup:1 around:1 reflection:1 based:1 handling:1 looks:1 good:1 committed:1 master:1;2012-07-11T15:36:38.000+0000;2012-07-12T07:10:33.000+0000;;0.3.0;0.3.0;3;2012-07-11T15:38:57.593+0000;2012-07-12T07:10:33.438+0000;0;1;2012-07-11T15:38:57.548+0000;2012-07-11T15:38:57.548+0000;1;2012-07-11T15:38:57.548+0000;2012-07-11T15:38:57.548+0000;;
CRUNCH;ASF;Apache Crunch Committee;library;CRUNCH-22;Major;Closed;gabriel.reid;gabriel.reid;;join:2 functions:1 break:1 non:1 mapped:1 types:1 used:1 key:1;join:3 non:1 mapped:1 types:1 e:1 custom:1 records:1 used:1 key:1 functions:1 operate:1 correctly:1 becomes:1 closer:1 producing:1 cartesian:1 product:1 due:1 object:1 use:1;patch:1 correct:1 issue:1 well:1 unit:1 tests:1 basic:1 functionality:1 join:1 types:1 pushed:1 master:1 know:1 reason:1 object:1 pooling:1 mr:1 applications:1 typically:1 bound:1 garbage:1 collector:1 overhead:1 matter:1 much:1 curious:1 seen:1 lots:1 bugs:1 textbook:1 case:1 premature:1 optimization:1 close:1 issues:1;2012-07-21T10:49:02.000+0000;2012-07-21T10:53:57.000+0000;;;0.3.0;5;2012-07-21T10:50:03.615+0000;2012-09-17T06:41:30.729+0000;0;1;2012-07-21T10:50:03.591+0000;2012-07-21T10:50:03.591+0000;1;2012-07-21T10:50:03.591+0000;2012-07-21T10:50:03.591+0000;;
CRUNCH;ASF;Apache Crunch Committee;library;CRUNCH-23;Major;Closed;gabriel.reid;rahul.sharma;;sort:2 full:1 values:1;sorted:4 sort:3 values:2 means:2 using:1 sorting:1 performed:1 reducer:1 absolute:1 order:1 iterated:1 materialized:1 collection:1 also:1 files:1 output:1 operation:1 simply:1 concatenated:1 come:1 single:1 file:1;data:10 patch:9 solution:8 work:8 issue:7 order:7 reducer:6 keys:6 file:6 single:5 partition:5 case:5 also:5 sort:5 look:5 java:5 apache:5 using:5 need:4 sorting:4 test:4 take:4 sample:4 crunch:4 tested:4 get:4 make:4 files:4 total:3 first:3 sorted:3 way:3 sampling:3 distribution:3 works:3 attached:3 reducers:3 back:3 number:3 code:3 like:3 intermediate:3 schema:3 release:3 run:2 local:2 going:2 e:2 words:2 done:2 create:2 strategy:2 josh:2 feel:2 perfect:2 based:2 reservoir:2 subset:2 good:2 thanks:2 think:2 large:2 class:2 pipeline:2 cluster:2 node:2 io:2 fix:2 couple:2 full:2 cumulative:2 yes:2 end:2 requires:2 creates:2 output:2 sure:2 type:2 fixing:2 still:2 key:2 suggestions:2 want:2 use:2 imposed:2 default:2 box:2 hard:2 provide:2 example:1 demonstrate:1 note:1 visible:1 uses:1 along:1 lines:1 http:1 reusable:1 cut:1 suffers:1 drawback:1 evenly:1 distributed:1 worst:1 already:1 last:1 improving:1 problem:1 pairs:1 tests:1 eventually:1 ran:1 another:1 link:1 posted:1 describes:1 input:1 balancing:1 implemented:1 used:1 selected:1 solely:1 depends:1 man:1 weekend:1 approach:1 either:1 quality:1 matter:1 much:1 b:1 w:1 high:1 probability:1 two:1 thoughts:1 testing:1 mind:1 verify:1 really:1 move:1 specific:1 logic:1 stuff:1 calls:1 methods:1 interface:1 know:1 build:1 running:1 fail:1 job:1 try:1 multiple:1 looking:1 bytes:1 reduce:1 task:1 throws:1 exception:1 saying:1 caused:1 wrong:1 partitions:1 creation:1 improvements:1 side:1 changes:1 made:1 apis:1 incorporate:1 cases:1 written:1 fine:1 pushes:1 relatively:1 larger:1 well:1 got:1 questions:1 took:1 quick:1 appears:1 might:1 reliant:1 therefore:1 idea:1 basically:1 null:1 values:1 materialize:1 collection:1 completely:1 till:1 seen:1 different:1 gabriel:1 check:1 bad:1 verified:1 earlier:1 getting:1 stuck:1 point:1 one:1 trying:1 options:1 g:1 configuring:1 able:1 sequence:1 read:1 exceptions:1 expects:1 cast:1 definite:1 closer:1 days:1 unfortunately:1 current:1 form:1 usable:1 states:1 implement:1 second:1 thought:1 user:1 specifies:1 loads:1 none:1 specified:1 select:1 ascending:1 fields:1 record:1 feels:1 looks:1 bit:1 working:1 mailing:1 list:1 proposed:1 block:1 initial:1 structurally:1 indeed:1 difference:1 partitioning:1 hash:1 ordering:1 lets:1 elaborately:1 committed:1 coded:1 fixed:1 created:1 structural:1 improvement:1;2012-07-21T11:38:15.000+0000;2012-08-25T19:32:08.000+0000;;;0.3.0;20;2012-07-21T11:44:47.239+0000;2012-08-25T19:32:08.730+0000;0;5;2012-07-21T11:44:47.184+0000;2012-08-25T03:52:05.381+0000;4;2012-07-30T06:35:54.938+0000;2012-08-25T03:52:05.381+0000;;
CRUNCH;ASF;Apache Crunch Committee;library;CRUNCH-28;Major;Closed;mafr;mafr;;add:1 missing:1 license:1 headers:1;headers:2 add:2 still:1 files:1 license:1 also:1 automatic:1 check:1 using:1 apache:1 rat:1 detect:1 future:1;rat:6 test:6 data:4 licenses:3 script:3 phase:2 right:2 scrunch:2 integration:2 license:2 apache:2 check:2 clean:2 header:2 file:2 working:2 copy:2 target:2 fine:2 thanks:2 attached:1 runs:1 quickly:1 also:1 move:1 verify:1 please:1 review:1 especially:1 shakes:1 sure:1 general:1 adding:1 headers:1 break:1 tests:1 got:1 error:1 failed:1 execute:1 goal:1 project:1 crunch:1 parent:1 many:1 help:1 missing:1 exclusion:1 probably:1 lying:1 around:1 belong:1 see:1 git:1 status:1 tells:1 freshly:1 cloned:1 repository:1 works:1 quite:1 ran:1 branch:1 worked:1 committed:1 going:1 think:1 requires:1 close:1 issues:1;2012-07-30T20:45:57.000+0000;2012-07-30T23:42:58.000+0000;;0.3.0;0.3.0;7;2012-07-30T20:54:48.887+0000;2012-09-17T06:41:29.809+0000;0;1;2012-07-30T20:54:48.859+0000;2012-07-30T20:54:48.859+0000;1;2012-07-30T20:54:48.859+0000;2012-07-30T20:54:48.859+0000;;
CRUNCH;ASF;Apache Crunch Committee;library;CRUNCH-36;Major;Closed;jadler;;IO;compression:1 settings:1 ignored:1 crunch:1;setting:4 deflate:3 apache:3 compress:2 output:2 configuration:2 users:2 file:2 level:2 java:1 map:1 reduce:1 jobs:1 true:1 supports:1 two:1 snappy:1 typically:1 select:1 code:1 calling:1 specifying:1 either:1 specify:1 crunch:1 types:1 currently:1 ignores:1 follow:1 patch:1 fixes:1 problem:1;java:3 patch:2 apache:2 like:2 output:2 hopefully:1 formatted:1 correctly:1 formats:1 fine:1 support:1 assume:1 thought:1 check:1 take:1 look:1 http:1 trunk:1 main:1 view:1 markup:1 looks:1 compression:1 code:1 part:1 format:1 settings:1 ignored:1 sure:1 understand:1 works:1 way:1 get:1 compressed:1 committed:1 thanks:1 close:1 issues:1;2012-08-07T22:50:25.000+0000;2012-08-08T04:49:45.000+0000;;0.3.0;0.3.0;5;2012-08-07T22:57:52.954+0000;2012-09-17T06:41:29.605+0000;0;1;2012-08-07T22:57:52.929+0000;2012-08-07T22:57:52.929+0000;1;2012-08-07T22:57:52.929+0000;2012-08-07T22:57:52.929+0000;;
CRUNCH;ASF;Apache Crunch Committee;library;CRUNCH-38;Major;Closed;gabriel.reid;gabriel.reid;;deep:1 copying:1 collection:1 work:1;values:3 deep:2 collections:2 creating:1 detached:1 e:1 copying:1 based:1 perform:1 copy:1 causes:1 joins:1 aggregations:1 containing:1 complex:1 function:1 correctly:1;resolved:1 commit:1 close:1 issues:1;2012-08-09T20:58:12.000+0000;2012-08-09T21:00:31.000+0000;;;0.3.0;2;2012-08-09T21:00:31.169+0000;2012-09-17T06:41:30.694+0000;0;0;;;0;;;;
