Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
DIRMINA;ASF;Apache MINA Committee;network-server;DIRMINA-656;Minor;Closed;aris;elecharny;Filter;methods:1 log:1 java:1 use:1 subsequent:1 instead:1 current:1;message:31 log:23 logger:20 case:15 break:12 info:9 warn:9 trace:8 error:8 cause:7 event:6 level:6 current:5 private:4 void:4 string:4 switch:4 compatible:3 requested:3 user:3 debug:3 methods:2 use:2 see:2 code:2 operator:2 exception:2 formated:2 class:1 subsequent:1 instead:1 example:1 method:1 uses:1 print:1 source:1 proof:1 remedy:1 either:1 replace:1 three:1 statement:1 parameters:1 parameter:1 injected:1 object:1 simple:1;rev:2 applied:1 suggested:1 correction:1 using:1 switch:1 http:1 apache:1 view:1 thanks:1;2009-01-12T19:53:42.000+0000;2009-01-12T22:21:37.000+0000;;2.0.0-M4;2.0.0-M5;1;2009-01-12T22:21:37.918+0000;2009-01-12T22:21:37.918+0000;0;0;;;0;;;;
DIRMINA;ASF;Apache MINA Committee;network-server;DIRMINA-658;Major;Closed;costello;ted_kods;Filter;pass:1 session:1 closed:1 exception:1 caught:1 events:1 filter:1 chain:1;session:7 java:6 filter:4 exception:3 cause:3 main:3 apache:3 mina:3 buffer:3 public:2 void:2 throws:2 free:2 pass:1 along:1 closed:1 caught:1 events:1 chain:1 problems:1 application:1 needs:1 clean:1 resources:1 client:1 disconnect:1 try:1 server:1 disconnected:1 looking:1 filters:1 look:1 like:1 omission:1 intentional:1 patch:1 index:1 revision:1 working:1 copy:1 end:1 file:1;test:2 attached:1 supposed:1 exit:1 session:1 closed:1 event:1 received:1 instead:1 hangs:1 investigate:1 believe:1 right:1 fixed:1 detailed:1 report:1;2009-01-27T18:52:04.000+0000;2009-01-27T23:44:34.000+0000;;2.0.0-M4;2.0.0-M5;3;2009-01-27T18:53:52.011+0000;2009-01-27T23:44:34.833+0000;0;1;2009-01-27T18:53:51.965+0000;2009-01-27T18:53:51.965+0000;0;;;;
DIRMINA;ASF;Apache MINA Committee;network-server;DIRMINA-661;Minor;Closed;darose;elecharny;Core;close:2 true:1 notifying:1 listener:1;never:3 listeners:3 close:2 session:2 completed:2 using:2 test:2 notified:2 called:2 catch:2 operation:2 trying:1 add:1 listener:1 perform:1 processing:1 works:1 fine:1 live:1 system:1 e:1 unit:1 get:1 see:1 example:1 case:1 http:1 www:1 net:1 java:1 additional:1 analysis:1 think:1 method:1 public:1 try:1 long:1 false:1 ie:1 nothing:1 mandatory:1 contract:1 doc:1 explicit:1 wait:1 asynchronous:1 complete:1 attached:1 return:1 current:1;rev:2 issue:1 due:1 missing:1 invocation:1 implementation:1 remove:1 method:1 session:1 removed:1 event:1 propagated:1 otherwise:1 listeners:1 never:1 called:1 fixed:1 http:1 apache:1 view:1;2009-02-13T05:06:14.000+0000;2009-02-13T08:12:46.000+0000;;2.0.0-M4;2.0.0-M5;1;2009-02-13T08:12:46.849+0000;2009-02-13T08:12:46.849+0000;0;0;;;0;;;;
DIRMINA;ASF;Apache MINA Committee;network-server;DIRMINA-662;Minor;Closed;darose;elecharny;Core;close:1 false:1 throws:1;java:32 apache:12 mina:12 core:12 framework:8 run:6 eclipse:6 internal:6 runner:6 session:4 reflect:4 sun:3 method:3 invoke:3 close:2 handler:2 flush:2 appears:1 bug:1 calling:1 false:1 feb:1 pm:1 service:1 warning:1 exception:1 please:1 implement:1 proper:1 handling:1 access:1 native:1 protect:1 main:1;session:5 issue:2 processor:2 public:2 void:2 get:2 request:2 rev:2 confirm:1 bug:1 implementation:1 new:1 add:1 flush:1 poll:1 object:1 closed:1 emptied:1 back:1 immediately:1 cause:1 generated:1 trying:1 message:1 null:1 fixed:1 http:1 apache:1 view:1 forgot:1 mark:1 resolved:1;2009-02-13T05:11:59.000+0000;2009-02-13T08:13:17.000+0000;;2.0.0-M4;2.0.0-M5;2;2009-02-13T08:10:50.647+0000;2009-02-13T08:13:17.092+0000;0;0;;;0;;;;
DIRMINA;ASF;Apache MINA Committee;network-server;DIRMINA-664;Minor;Closed;darose;elecharny;Core;constants:1 made:1 mutable:1 cause:1 data:1 errors:1;true:3 public:3 class:2 import:2 void:2 allocate:2 flip:2 remaining:2 constants:1 made:1 mutable:1 using:1 method:1 call:1 result:1 constant:1 buffers:1 longer:1 empty:1 obviously:1 cause:1 multitude:1 data:1 errors:1 see:1 test:1 case:1 example:1 framework:1 apache:1 mina:1 core:1 buffer:1 extends:1;buffer:14 allocate:6 static:6 expandable:5 think:4 constants:4 empty:4 object:4 matter:3 new:3 internally:3 using:3 buffers:3 data:3 imo:3 immutable:3 private:3 constant:3 return:3 much:2 expand:2 bad:2 idea:2 getting:2 see:2 tests:2 true:2 instead:2 problem:2 assumption:2 fix:2 get:2 rid:2 time:2 right:2 often:2 case:2 let:2 going:2 someone:2 longer:2 take:2 calls:2 capacity:2 direct:2 write:2 remove:2 extremely:2 useful:2 graph:2 rev:2 operation:1 reason:1 sure:1 understand:1 never:1 calling:1 erroneous:1 behavior:1 run:1 unit:1 failing:1 seems:1 like:1 big:1 deal:1 especially:1 part:1 pertaining:1 caused:1 bugs:1 system:1 thought:1 allocated:1 mina:1 giving:1 existing:1 already:1 rather:1 keeping:1 around:1 hold:1 immutability:1 correct:1 one:1 bit:1 rails:1 basically:1 point:1 despite:1 final:1 qualifier:1 reviewed:1 current:1 implementation:1 afternoon:1 removed:1 extensible:1 allocating:1 likely:1 happen:1 visible:1 users:1 use:1 tend:1 yes:1 weakness:1 class:1 declared:1 used:1 atm:1 declare:1 fact:1 handing:1 mutable:1 repeatedly:1 modify:1 example:1 code:1 public:1 boolean:1 either:1 fields:1 set:1 returned:1 subsequent:1 choice:1 far:1 functionality:1 request:1 difficult:1 know:1 ahead:1 exactly:1 large:1 need:1 e:1 g:1 vary:1 length:1 stepping:1 compute:1 size:1 needed:1 might:1 require:1 almost:1 coding:1 cpu:1 cycles:1 first:1 place:1 damn:1 faked:1 objects:1 fixed:1 http:1 apache:1 view:1;2009-02-26T17:11:55.000+0000;2009-02-27T13:46:42.000+0000;;2.0.0-M4;2.0.0-M5;6;2009-02-26T17:23:51.516+0000;2009-02-27T13:46:42.860+0000;0;0;;;0;;;;
DIRMINA;ASF;Apache MINA Committee;network-server;DIRMINA-665;Major;Closed;crazycoder;elecharny;Core;cause:1 collisions:1 lead:1 calls:1;duplicate:9 session:8 null:7 id:7 problem:5 created:5 case:3 method:3 implementation:3 get:3 closed:3 open:3 socket:3 server:3 true:3 mina:2 collisions:2 ids:2 service:2 already:2 rewritten:2 several:2 attributes:2 connected:2 ip:2 number:2 sample:2 output:2 start:2 finish:2 investigating:1 root:1 described:1 http:1 www:1 counting:1 connections:1 html:1 found:1 likely:1 caused:1 see:1 apache:1 core:1 registered:1 ignore:1 long:1 return:1 new:1 one:1 managed:1 returns:1 invoked:1 surprising:1 says:1 totally:1 wrong:1 pretty:1 serious:1 heavy:1 load:1 hour:1 basically:1 empty:1 map:1 correspond:1 leads:1 inability:1 track:1 consider:1 simple:1 counter:1 addresses:1 gives:1 users:1 probably:1 also:1 race:1 condition:1 cases:1 cause:1 must:1 investigated:1 use:1 constructor:1 class:1 fixed:1 attaching:1 test:1 reproduces:1 machine:1 may:1 need:1 run:1 times:1 expected:1 result:1 adjust:1 sessions:1 packet:1 size:1 current:1 using:1 time:1 additional:1 investigations:1 hope:1 helps:1 proposed:1 solution:1 either:1 rewrite:1 generation:1 make:1 behavior:1 consistent:1 generated:1 stop:1 application:1 normal:1 operation:1;patch:3 problem:2 call:2 code:2 serge:2 rev:2 test:1 case:1 illustrating:1 collisions:1 q:1 tried:1 run:1 modified:1 version:1 method:1 instance:1 returning:1 system:1 instead:1 solution:1 hack:1 different:1 id:1 yes:1 mentioned:1 original:1 report:1 implementation:1 using:1 works:1 fine:1 see:1 outputs:1 provided:1 temporary:1 fix:1 attached:1 thanks:1 look:1 tomorrow:1 applied:1 http:1 apache:1 view:1;2009-02-28T23:21:36.000+0000;2009-03-01T22:40:17.000+0000;;2.0.0-M4;2.0.0-M5;6;2009-02-28T23:22:38.589+0000;2009-03-01T22:40:17.238+0000;0;2;2009-02-28T23:22:38.551+0000;2009-02-28T23:49:53.391+0000;1;2009-02-28T23:49:53.391+0000;2009-02-28T23:49:53.391+0000;;
DIRMINA;ASF;Apache MINA Committee;network-server;DIRMINA-667;Major;Closed;jjfraney@gmail.com;elecharny;Core;leaks:1 bind:1 exception:1;exception:2 bind:2 method:1 close:1 reference:1 recoverable:1 caller:1 override:1 protected:1 throws:1 open:1 null:1 socket:1 return:1;rev:2 fixed:1 http:1 apache:1 view:1 thanks:1 pointing:1 issue:1;2009-03-07T02:42:58.000+0000;2009-03-08T20:19:25.000+0000;;2.0.0-M4;2.0.0-M5;1;2009-03-08T20:19:25.362+0000;2009-03-08T20:19:25.362+0000;0;0;;;0;;;;
DIRMINA;ASF;Apache MINA Committee;network-server;DIRMINA-672;Major;Closed;jamestalmage;elecharny;Filter;;code:4 session:4 buffer:4 returns:3 probably:3 make:3 transports:3 use:3 inspection:2 also:2 actually:2 return:2 method:2 called:2 false:2 sense:2 support:2 fragmentation:2 concept:2 accumulation:2 helper:2 class:2 protocol:2 excerpt:1 forum:1 discussion:1 http:1 www:1 potential:1 html:1 using:1 source:1 tell:1 going:1 os:1 independent:1 issue:1 discovered:1 bug:1 starting:1 line:1 breaks:1 contract:1 documentation:1 says:1 repeatedly:1 following:1 changes:1 makes:1 previous:1 test:1 case:1 pass:1 little:1 simplistic:1 nothing:1 sure:1 true:1 consumed:1 fragmented:1 may:1 provide:1 another:1 e:1 handling:1 remainder:1 see:1 author:1 headed:1 jive:1 accumulating:1 drop:1 packet:1 however:1 perfect:1 perhaps:1 better:1 subclass:1 create:1 handles:1 fragment:1 aspect:1 always:1 said:1 throwing:1 error:1 opt:1 depending:1 encounters:1;test:4 rev:4 thanks:3 patch:3 loop:3 buffer:3 check:3 code:2 applied:2 http:2 apache:2 view:2 endlessly:2 transport:2 wants:2 r:2 make:2 sure:2 also:2 returns:2 method:2 bug:2 probably:2 case:1 shows:1 issue:1 impacts:1 class:1 seems:1 pretty:1 obvious:1 problem:1 testing:1 patching:1 ok:1 added:1 james:1 current:1 never:1 fully:1 consumes:1 e:1 discard:1 remainder:1 take:1 example:1 send:1 parse:1 first:1 two:1 lines:1 result:1 us:1 continue:1 fragmented:1 checks:1 consumed:1 true:1 likely:1 mean:1 throw:1 exception:1 sorry:1 bad:1 moved:1 decode:1 call:1 clarity:1 sake:1 adding:1 get:1 false:1 late:1 fixed:1 ps:1 really:1 appreciate:1 provide:1 decoder:1 bit:1 lazy:1 busy:1 add:1 far:1 remember:1 marked:1 fix:1 reopened:1 error:1 considered:1 closed:1;2009-03-13T18:26:51.000+0000;2009-05-06T12:14:28.000+0000;;2.0.0-M4 2.0.0-M3 2.0.0-M2 2.0.0-M1;2.0.0-M5;6;2009-03-13T18:28:04.175+0000;2009-05-06T12:14:28.747+0000;0;1;2009-03-13T18:28:04.131+0000;2009-03-13T18:28:04.131+0000;0;;;;
DIRMINA;ASF;Apache MINA Committee;network-server;DIRMINA-673;Major;Closed;ccustine;;;build:1 produces:1 invalid:1 jar:1 file:1;manifest:3 files:2 jar:2 first:2 file:2 archive:2 deployment:2 build:1 step:1 adding:1 license:1 ant:1 zip:1 task:1 produces:1 invalid:1 guaranteed:1 part:1 spec:1 affecting:1 containers:1 code:1 uses:1 read:1 prior:1 expects:1;patch:4 jar:3 file:3 use:2 ant:2 task:2 asl:2 3rd:2 party:2 license:2 files:2 necessary:2 assembly:2 includes:2 mina:2 main:1 cause:1 zip:1 explode:1 recreate:1 removes:1 rather:1 clunky:1 move:1 built:1 think:1 larger:1 archives:1 download:1 makes:1 remote:1 resources:1 inserts:1 required:1 notice:1 jars:1 licenses:1 archive:1 also:1 creates:1 legal:1 parent:1 modules:1 order:1 work:1 around:1 cyclic:1 dependencies:1 normal:1 many:1 maven:1 projects:1 days:1 large:1 let:1 know:1 change:1 suit:1 fixed:1;2009-03-15T22:31:06.000+0000;2009-06-10T14:39:35.000+0000;;2.0.0-M4;2.0.0-RC1;2;2009-03-16T03:46:04.212+0000;2009-06-10T14:39:35.113+0000;0;1;2009-03-16T03:46:06.441+0000;2009-03-16T03:46:06.441+0000;1;2009-03-16T03:46:06.441+0000;2009-03-16T03:46:06.441+0000;;
DIRMINA;ASF;Apache MINA Committee;network-server;DIRMINA-674;Major;Closed;ccustine;elecharny;;mina:2 module:1 requires:1 core:1 compile:1 scope:1;mina:2 maven:2 integration:1 module:1 core:1 scope:1 set:1 test:1 even:1 though:1 classes:1 required:1 compilation:1 happens:1 work:1 x:1 think:1 coincidence:1 broken:1 soon:1 released:1;patch:2 rev:2 yeah:1 know:1 dumb:1 allow:1 entire:1 build:1 work:1 maven:1 applied:1 http:1 apache:1 view:1;2009-03-16T03:55:50.000+0000;2009-03-20T00:04:38.000+0000;;2.0.0-M4;2.0.0-M5;2;2009-03-16T04:01:29.548+0000;2009-03-20T00:04:38.944+0000;0;1;2009-03-16T04:01:32.969+0000;2009-03-16T04:01:32.969+0000;1;2009-03-16T04:01:32.969+0000;2009-03-16T04:01:32.969+0000;;
