Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
CAMEL;ASF;Apache Camel Committee;network-server;CAMEL-1213;Major;Closed;davsclaus;davsclaus;camel-jms;camel:2 message:2 id:2 based:2 consumer:1 set:1 next:1 node:1;code:1 apache:1 camel:1 component:1 looks:1 odd:1 think:1 removed:1 add:1 unit:1 test:1 based:1 end:1 user:1 trouble:1;fellow:1 riders:1 please:1 review:1 patch:1 fix:1 makes:1 sense:1 think:1 typo:1 originally:1 created:1 agreed:1 bad:1 james:1 trunk:1 x:1 closing:1 tickets:1;2009-01-02T17:13:09.000+0000;2009-01-06T05:46:06.000+0000;;1.5.0;2.0-M1 1.6.0;6;2009-01-02T17:37:58.068+0000;2009-07-31T06:33:54.946+0000;0;1;2009-01-02T17:37:57.992+0000;2009-01-02T17:37:57.992+0000;1;2009-01-02T17:37:57.992+0000;2009-01-02T17:37:57.992+0000;;
CAMEL;ASF;Apache Camel Committee;network-server;CAMEL-1217;Major;Closed;njiang;njiang;camel-jetty;get:1 jetty:1 component:1 options:1 work:1 indeed:1 apache:1 http:1 client:1;http:4 client:4 jetty:3 useless:2 apache:2 common:2 current:1 component:1 set:1 parameter:1 using:1 indeed:1 need:1 pass:1 parameters:1 remove:1;also:1 updated:1 release:1 note:1 closing:1 tickets:1;2009-01-03T08:18:59.000+0000;2009-01-04T07:18:03.000+0000;;1.5.0 1.4.0 1.3.0;2.0-M1 1.6.0;2;2009-01-04T07:18:03.391+0000;2009-07-31T06:33:55.083+0000;0;0;;;0;;;;
CAMEL;ASF;Apache Camel Committee;network-server;CAMEL-1221;Major;Closed;mmansell;njiang;osgi;unable:1 find:1 dynamically:1 loaded:1 languages:1 using:1;camel:2 bundles:2 code:2 things:2 trunk:2 languages:2 component:1 supports:1 loading:1 components:1 release:1 looks:1 like:1 someone:1 started:1 add:1 automatically:1 loaded:1 allow:1 added:1 definitely:1 adding:1 still:1 missing:1 perhaps:1 well:1 loads:1 using:1 mechanism:1 got:1 working:1 patching:1 copy:1 basically:1 creating:1 version:1 based:1 seems:1 taking:1 different:1 direction:1 going:1 push:1 patch:1 yet:1;hi:2 michael:2 snapshot:2 thanks:1 pointing:1 language:1 issue:1 take:1 care:1 check:1 latest:1 camel:1 verify:1 fixing:1 closing:1 tickets:1;2009-01-03T22:58:45.000+0000;2009-01-09T07:24:30.000+0000;;1.5.0;2.0-M1 1.6.0;3;2009-01-04T01:27:30.633+0000;2009-07-31T06:33:55.891+0000;0;0;;;0;;;;
CAMEL;ASF;Apache Camel Committee;network-server;CAMEL-1225;Minor;Closed;davsclaus;janstey;camel-core;duplicate:1 type:1 converter:1 source:1 two:1 classes:1 camel:1 core:1;see:1 http:1 www:1 html:1 type:1 converter:1 needed:1 containers:1 make:1 sure:1 fix:1 correct:1;converters:1 exactly:1 thing:1 harm:1 removing:1 one:1 closing:1 tickets:1;2009-01-05T10:11:48.000+0000;2009-01-05T15:11:32.000+0000;;1.5.0;2.0-M1 1.6.0;2;2009-01-05T15:11:32.632+0000;2009-07-31T06:33:55.967+0000;0;0;;;0;;;;
CAMEL;ASF;Apache Camel Committee;network-server;CAMEL-1230;Major;Closed;janstey;janstey;;camel:1 archetype:1 fails:1;x:2 camel:2 getting:1 running:1 projects:1 generated:1 archetype:1 caused:1 java:1 apache:1 component:1 looking:1;fix:2 yeah:2 x:2 easy:1 moved:1 core:1 version:1 need:1 add:1 dependency:1 camel:1 well:1 problem:1 current:1 release:1 depended:1 suggest:1 remembered:1 component:1 move:1 soon:1 creating:1 bit:1 quick:1 trigger:1 finger:1 guess:1 simple:1 merged:1 closing:1 tickets:1;2009-01-06T18:22:02.000+0000;2009-01-06T18:34:45.000+0000;;;2.0-M1 1.6.0;4;2009-01-06T18:25:25.206+0000;2009-07-31T06:33:56.119+0000;0;0;;;0;;;;
CAMEL;ASF;Apache Camel Committee;network-server;CAMEL-1233;Critical;Closed;davsclaus;davsclaus;camel-core;pipeline:1 change:1 unintended:1;result:2 camel:2 use:2 send:2 request:2 method:2 using:2 exchanges:1 processed:1 pipeline:1 copyed:1 input:1 next:1 exchange:1 however:1 copy:1 potentially:1 change:1 respect:1 original:1 flaw:1 fixing:1 also:1 forces:1 end:1 users:1 correct:1 keep:1 breaks:1 unit:1 testing:1 wrong:1;camel:12 java:12 core:6 apache:6 test:5 processor:5 sending:4 x:2 adding:2 committed:2 revision:2 guess:1 get:1 well:1 patch:1 fix:1 plus:1 unit:1 tests:1 send:1 correct:1 starting:1 route:1 fixed:1 trunk:1 main:1 transmitting:1 file:1 data:1 branch:1 closing:1 tickets:1;2009-01-07T13:26:51.000+0000;2009-01-07T16:46:49.000+0000;;1.5.0;2.0-M1 1.6.0;5;2009-01-07T13:27:15.107+0000;2009-07-31T06:33:56.884+0000;0;1;2009-01-07T15:29:04.352+0000;2009-01-07T15:29:04.352+0000;1;2009-01-07T15:29:04.352+0000;2009-01-07T15:29:04.352+0000;;
CAMEL;ASF;Apache Camel Committee;network-server;CAMEL-1247;Major;Closed;watcher;davsclaus;camel-ftp;polling:1 list:1 directory:1 error:1;http:1 www:1 polling:1 list:1 directory:1 html:1;java:35 file:29 camel:25 apache:19 component:16 remote:15 incoming:10 amp:8 concurrent:8 done:7 fix:7 folder:7 paddy:6 new:6 ftp:6 directory:6 c:5 test:5 run:5 log:4 name:4 thanks:4 commited:4 x:4 source:4 bug:4 error:4 printer:4 session:4 thread:4 unit:3 sorry:3 trunk:3 however:3 outgoing:3 windows:3 channel:3 star:3 list:3 try:3 revision:3 unknown:3 spaces:3 following:2 endpoint:2 id:2 password:2 true:2 filter:2 trace:2 build:2 fixed:2 still:2 server:2 utc:2 info:2 account:2 operation:2 failed:2 bean:2 property:2 value:2 hi:2 get:2 problem:2 committed:2 ls:2 path:2 exception:2 executors:2 worker:2 te:2 found:2 testing:2 commit:2 issues:2 delete:2 text:2 document:2 strategy:2 issue:2 names:2 much:2 route:1 binary:1 expression:1 recursive:1 delay:1 rename:1 sure:1 using:1 cant:1 see:1 lines:1 think:1 got:1 running:1 full:1 go:1 lovely:1 wait:1 hours:1 long:1 takes:1 infra:1 deploy:1 snapshot:1 grab:1 jar:1 exists:1 getting:1 structure:1 set:1 user:1 root:1 closed:1 registered:1 successful:1 listed:1 entries:1 reading:1 attributes:1 follow:1 system:1 find:1 specified:1 wrong:1 class:1 includes:1 excludes:1 looks:1 like:1 gets:1 detect:1 look:1 code:1 sending:1 main:1 transmitting:1 data:1 vector:1 files:1 equals:1 warn:1 occured:1 polling:1 poll:1 call:1 sync:1 access:1 caused:1 use:1 automatic:1 tests:1 regular:1 identical:1 sub:1 stuff:1 patch:1 shortly:1 please:1 major:1 compared:1 processing:1 ok:1 fails:1 put:1 throws:1 inc:1 operations:1 e:1 processor:1 management:1 move:1 works:1 tested:1 effort:1 today:1 good:1 help:1 consumers:1 patient:1 reporting:1 appreciated:1 community:1 closing:1 tickets:1;2009-01-12T12:18:20.000+0000;2009-01-14T05:05:12.000+0000;;2.0.0;2.0-M1;19;2009-01-13T09:34:35.010+0000;2009-07-31T06:33:57.946+0000;0;2;2009-01-13T09:34:35.005+0000;2009-01-13T10:33:44.666+0000;0;;;;
CAMEL;ASF;Apache Camel Committee;network-server;CAMEL-1249;Major;Closed;mwc_tonesoft;davsclaus;camel-mail;injected:1 spring:1 ignored:1;quote:6 camel:4 mail:4 spring:3 component:2 use:2 create:2 endpoint:2 line:2 configuration:2 new:2 parse:2 injection:2 configure:2 url:2 apache:1 configured:1 silly:1 hard:1 coded:1 java:1 code:1 instead:1 want:1 method:1 specify:1 mean:1 access:1 server:1 send:1 receive:1 different:1 deployments:1 ignored:1 variable:1 created:1 one:1 defeats:1 recommended:1 user:1 guide:1 changed:1 addition:1 parameter:1 equals:1 name:1 following:1 route:1 builder:1 solely:1 according:1 mailbox:1;property:4 name:4 component:3 correct:3 thanks:2 need:2 value:2 updated:2 michael:2 reporting:1 fixed:1 last:1 one:1 using:1 set:1 mail:1 configuration:1 ignore:1 scheme:1 true:1 mailbox:1 needs:1 added:1 easy:1 java:1 spring:1 might:1 tag:1 declare:1 think:1 please:1 comment:1 bug:1 mentioned:1 wrong:1 according:1 source:1 code:1 change:1 may:1 cause:1 confusion:1 reading:1 fix:1 thank:1 closing:1 tickets:1;2009-01-12T18:06:03.000+0000;2009-01-13T09:05:10.000+0000;;1.5.0 1.4.0;2.0-M1 1.6.0;4;2009-01-13T06:53:22.571+0000;2009-07-31T06:33:57.998+0000;0;0;;;0;;;;
CAMEL;ASF;Apache Camel Committee;network-server;CAMEL-1257;Major;Closed;davsclaus;davsclaus;;persistence:1 camel:1 jar:1;main:1 resources:1 persistence:1 deleted:1 camel:1 jar:1;closing:1 tickets:1;2009-01-14T15:44:35.000+0000;2009-01-14T16:18:41.000+0000;;1.5.0;2.0-M1 1.6.0;1;2009-07-31T06:33:58.936+0000;2009-07-31T06:33:58.936+0000;0;0;;;0;;;;
CAMEL;ASF;Apache Camel Committee;network-server;CAMEL-1263;Major;Closed;mwc_tonesoft;davsclaus;camel-mail;throws:1 exception:1 line:1;mail:3 exception:3 box:1 empty:1 available:1 throws:1 following:1 line:1 happens:1 protocols:1 java:1 sun:1 implementation:1 regardless:1 cause:1 closing:1 folder:1 enclosed:1 try:1 catch:1 block:1 ignore:1 thrown:1 longer:1 interesting:1 client:1 application:1 surely:1 log:1 throw:1;mail:4 folder:3 exception:2 line:2 server:2 closing:2 note:1 thrown:1 inside:1 matching:1 try:1 block:1 processing:1 empty:1 successful:1 turns:1 regardless:1 mailbox:1 close:1 true:1 always:1 throw:1 know:1 connect:1 first:1 time:1 hear:1 running:1 fedora:1 core:1 version:1 thanks:1 reporting:1 catch:1 log:1 debug:1 message:1 possible:1 ignore:1 tickets:1;2009-01-15T19:12:05.000+0000;2009-01-18T10:21:52.000+0000;;1.5.0;2.0-M1 1.6.0;6;2009-01-15T19:19:59.458+0000;2009-07-31T06:33:59.061+0000;0;0;;;0;;;;
