Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
LUCENE;ASF;Apache Lucene Committee;database;LUCENE-1509;Minor;Closed;mikemccand;mikemccand;core/index;return:1;files:5 method:3 doc:2 store:2 index:1 created:1 false:1 segment:1 flushed:1 session:1 shared:1 incorrectly:1 duplicated:1 walking:1 appending:1 list:1 multiple:1 may:1 share:1 causes:1 fix:1 added:1 places:1 computing:1 one:1 time:1 use:1 new:1 instead:1;attached:1 patch:1 plan:1 commit:1 day:1 two:1 committed:1 revision:1 thanks:1 michael:1;2009-01-02T13:48:18.000+0000;2009-01-05T22:31:16.000+0000;;2.9 2.4;2.9;3;2009-01-02T13:50:19.387+0000;2009-01-06T14:00:38.439+0000;0;1;2009-01-02T13:50:19.361+0000;2009-01-02T13:50:19.361+0000;1;2009-01-02T13:50:19.361+0000;2009-01-02T13:50:19.361+0000;;
LUCENE;ASF;Apache Lucene Committee;database;LUCENE-1510;Major;Closed;rnewson;karl.wettin;modules/other;throws:1 norms:1 used:1;java:27 search:9 norms:8 apache:8 framework:8 run:6 eclipse:6 internal:6 runner:6 searcher:4 reflect:4 sun:3 method:3 invoke:3 field:2 byte:2 bytes:2 offset:2 null:2 store:2 instantiated:2 using:1 reader:1 contains:1 documents:1 thrown:1 public:1 void:1 string:1 throws:1 get:1 system:1 length:1 variable:1 performing:1 copy:1 work:1 though:1 sure:1 right:1 fix:1 index:1 scorer:1 test:1 native:1 protect:1 main:1;byte:2 test:1 case:1 demonstrate:1 thanks:1 report:1 robert:1 committed:1 fix:1 revision:1 please:1 check:1 let:1 know:1 works:1 bit:1 discrepancies:1 handled:1 null:1 norms:1 compared:1 think:1 problems:1 fixed:1 looks:1 good:1 wonder:1 add:1 private:1 static:1 final:1 empty:1 new:1 refer:1 suggests:1;2009-01-02T16:09:33.000+0000;2009-01-08T09:42:42.000+0000;;2.4;2.9;3;2009-01-02T16:10:21.188+0000;2009-01-08T12:29:38.620+0000;0;1;2009-01-02T16:10:21.136+0000;2009-01-02T16:10:21.136+0000;0;;;;
LUCENE;ASF;Apache Lucene Committee;database;LUCENE-1519;Major;Closed;kalradeepak;mikemccand;;change:1 primitive:1 data:1 types:1 long:1 class:1 java:1;match:4 exception:3 size:3 prevent:3 index:3 corruption:3 long:3 getting:2 produced:2 invalid:2 result:2 file:2 aborting:2 merge:2 code:2 class:2 bug:2 throw:2 type:2 test:2 public:2 system:2 print:2 hi:1 optimize:1 checked:1 java:1 found:1 check:1 likely:1 sun:1 detect:1 struck:1 entering:1 see:1 details:1 new:1 case:1 even:1 though:1 equal:1 work:1 number:1 range:1 variable:1 needs:1 changed:1 written:1 small:1 static:1 void:1 main:1 string:1 change:1 data:1 please:1 advise:1 us:1 issue:1 fixed:1 next:1 release:1 regards:1;bug:3 please:2 java:2 list:2 committed:2 revision:2 bring:1 user:1 mailing:1 instead:1 close:1 issue:1 hi:1 otis:1 mail:1 reporting:1 send:1 link:1 regards:1 real:1 fix:1 thanks:1 problem:1 reopening:1 branch:1;2009-01-14T05:16:54.000+0000;2009-02-19T10:07:09.000+0000;;2.4;2.9 2.4.1;7;2009-01-14T05:36:53.241+0000;2009-02-19T10:07:09.092+0000;0;0;;;0;;;;Reference:LUCENE-1521
LUCENE;ASF;Apache Lucene Committee;database;LUCENE-1520;Major;Closed;uschindler;mikemccand;core/index;indexes:1 lot:1 fields:1 norms:1;index:8 norms:8 fields:7 array:6 cache:4 norm:4 byte:4 freed:4 problem:4 half:3 segment:3 used:2 field:2 many:2 tested:2 million:2 call:2 calls:2 creates:2 new:2 time:2 java:2 one:2 best:2 use:2 bytes:2 caching:2 done:2 readers:1 last:1 never:1 cleaned:1 access:1 close:1 reopen:1 see:1 create:1 documents:1 entry:1 get:1 short:1 able:1 even:1 opens:1 tests:1 separate:1 big:1 optimized:1 consisting:1 docs:1 takes:1 mib:1 created:1 cached:1 gib:1 ram:1 opinion:1 weak:1 better:1 gets:1 ref:1 proper:1 synchronization:1 reference:1 garbage:1 collected:1 may:1 happen:1 references:1 exist:1 code:1 hard:1 referencing:1 share:1 allocated:1 dummy:1 enabled:1 checked:1 perfectly:1 prepare:1 patch:1 tomorrow:1 mike:1 proposed:1 another:1 quick:1 fix:1 first:1 specifically:1 simply:1 non:1 method:1 instead:1 prevent:1 errors:1 using:1;patch:4 commit:3 mike:2 committed:2 revision:2 thanks:2 suggestion:1 fixes:1 use:1 norms:1 caches:1 uses:1 variant:1 passes:1 error:1 many:1 field:1 index:1 looks:1 good:1 shortly:1 slightly:1 improved:1 byte:1 allocated:1 one:1 time:1 fields:1 length:1 check:1 unnecessary:1 array:1 moved:1 little:1 bit:1 modified:1 compare:1 reader:1 last:1 optimized:1 memory:1 usage:1 current:1 trunk:1 ok:1 even:1 better:1;2009-01-15T22:44:08.000+0000;2009-01-16T10:49:46.000+0000;;2.9;2.9;7;2009-01-16T10:37:25.475+0000;2009-01-16T11:11:37.960+0000;0;3;2009-01-16T10:37:25.429+0000;2009-01-16T10:58:01.903+0000;3;2009-01-16T10:37:25.429+0000;2009-01-16T10:58:01.903+0000;;
LUCENE;ASF;Apache Lucene Committee;database;LUCENE-1521;Critical;Closed;svella;mikemccand;core/index;size:1 mismatch:1 exception:1 closing:1 index:1 documents:1;java:12 index:11 apache:10 state:4 flush:2 close:2 appears:2 bug:2 mistake:2 closing:1 contains:1 randomly:1 generated:1 documents:1 exception:1 thrown:1 size:1 mismatch:1 docs:1 vs:1 length:1 bytes:1 directory:1 multiplication:1 causing:1 integer:1 overflow:1 fix:1 cast:1 long:1 multiplying:1 another:1 instance:1 caused:1 cursory:1 code:1 see:1 might:1 yet:1 instances:1 found:1 none:1;java:13 index:12 apache:10 docs:3 flush:3 committed:2 revision:2 sure:2 bug:2 thread:2 main:2 library:2 file:2 system:2 locking:2 right:1 plus:1 another:1 one:1 fix:1 thanks:1 reopening:1 branch:1 note:1 issue:1 hits:1 many:1 million:1 received:1 exception:1 size:1 mismatch:1 vs:1 length:1 bytes:1 commit:1 go:1 working:1 particular:1 look:1 like:1 occurrence:1 happened:1 underlying:1 storage:1 anyway:1 http:1 www:1 mail:1 archive:1 user:1 html:1 helpful:1 explaining:1 may:1 happening:1 thing:1 might:1 removing:1 files:1 changing:1 directory:1 default:1 disabling:1 fine:1 use:1 daily:1 development:1 fabulous:1 snapshots:1 clones:1 addictive:1;2009-01-16T15:28:37.000+0000;2009-02-19T10:10:25.000+0000;;2.4;2.9 2.4.1;8;2009-01-16T15:59:49.872+0000;2009-08-28T08:52:23.687+0000;0;0;;;0;;;Reference:LUCENE-1519;
LUCENE;ASF;Apache Lucene Committee;database;LUCENE-1525;Minor;Closed;siren;mikemccand;;missing:1 dependencies:1 two:1 generated:1 maven:1 pom:1 files:1;missing:1 dependencies:1 generated:1 maven:1 pom:1 files:1 benchmark:1 highlighter:1;committed:1 revision:1 thanks:1 sami:1;2009-01-21T13:33:38.000+0000;2009-01-21T16:59:53.000+0000;;2.4;2.9;1;2009-01-21T16:59:53.465+0000;2009-01-21T16:59:53.465+0000;0;1;2009-01-21T13:35:21.518+0000;2009-01-21T13:35:21.518+0000;1;2009-01-21T13:35:21.518+0000;2009-01-21T13:35:21.518+0000;;
LUCENE;ASF;Apache Lucene Committee;database;LUCENE-1527;Trivial;Closed;jasonrutherglen;mikemccand;modules/benchmark;benchmark:1 deletes:1 fails:1;benchmark:1 deletes:1 fails:1 index:1 reader:1 defaults:1 open:1;adds:1 false:1 parameter:1 deletes:1 committed:1 revision:1 thanks:1 jason:1;2009-01-23T16:41:30.000+0000;2009-01-23T20:34:03.000+0000;;2.4;2.9;2;2009-01-23T16:44:57.605+0000;2009-01-23T20:34:03.007+0000;0;1;2009-01-23T16:44:57.556+0000;2009-01-23T16:44:57.556+0000;1;2009-01-23T16:44:57.556+0000;2009-01-23T16:44:57.556+0000;;
LUCENE;ASF;Apache Lucene Committee;database;LUCENE-1538;Minor;Closed;mikemccand;mikemccand;core/search;hits:1 synchronization:1 bottleneck:1;plan:1 fix:1 way:1 use:1 null:1;patch:1 attached:1 plan:1 commit:1 day:1 two:1 committed:1 revision:1;2009-02-06T23:42:03.000+0000;2009-02-09T11:26:31.000+0000;;2.4 2.3.2 2.3.1 2.3 2.2 2.1 2.0.0;2.9;2;2009-02-07T00:06:31.861+0000;2009-02-09T11:26:31.272+0000;0;1;2009-02-07T00:06:31.834+0000;2009-02-07T00:06:31.834+0000;1;2009-02-07T00:06:31.834+0000;2009-02-07T00:06:31.834+0000;;
LUCENE;ASF;Apache Lucene Committee;database;LUCENE-1542;Minor;Closed;markrmiller@gmail.com;mikemccand;;incorrectly:1 set:1 position:1 tokens:1 start:1 field:1;info:1;fix:16 position:15 think:14 bug:14 back:14 positions:10 first:9 payload:7 index:7 right:6 need:6 changes:6 wrong:5 like:5 set:5 fixed:5 case:4 one:4 test:4 payloads:4 tokens:4 patch:4 breaks:4 deprecated:4 indexed:4 term:3 sure:3 token:3 span:3 e:3 happens:3 side:3 new:3 merges:3 method:3 oddity:3 encoded:3 already:3 data:3 format:3 segments:3 change:3 agree:3 fact:2 occur:2 appears:2 looks:2 compatible:2 reverted:2 also:2 way:2 encode:2 delta:2 unit:2 spans:2 effect:2 screwed:2 needs:2 must:2 wanted:2 say:2 internal:2 get:2 understand:2 well:2 reason:2 whatever:2 issue:2 w:2 code:2 maybe:2 attached:2 buggy:2 behavior:2 problem:2 instead:2 comes:2 integer:2 real:2 question:2 handled:2 make:2 merged:2 indexes:2 1s:2 rebuild:2 covers:2 policy:2 wait:2 cases:2 may:2 leave:2 bad:2 storing:2 suppose:2 add:2 worried:2 segment:2 fixes:2 user:2 visible:2 impact:2 related:1 terms:1 located:1 seems:1 document:1 equal:1 look:1 closer:1 sometimes:1 odd:1 alas:1 decided:1 however:1 particularly:1 disastrous:1 left:1 shifting:1 bit:1 preserve:1 included:1 starts:1 ends:1 really:1 counts:1 going:1 disallow:1 put:1 discussion:1 work:1 utilize:1 integers:1 found:1 always:1 increment:1 returned:1 iterating:1 specifically:1 writes:1 understood:1 glad:1 opened:1 figured:1 solution:1 changing:1 2nd:1 forward:1 decrement:1 mark:1 original:1 converted:1 adds:1 emulate:1 previously:1 record:1 started:1 realized:1 accepting:1 realizing:1 much:1 worse:1 stored:1 require:1 non:1 zero:1 messes:1 things:1 subsequent:1 overflow:1 switch:1 nasty:1 despite:1 added:1 behaviour:1 application:1 default:1 mike:1 clarification:1 let:1 upgrade:1 realize:1 last:1 meantime:1 optimized:1 support:1 issues:1 encodings:1 hopefully:1 contain:1 anymore:1 choose:1 upgrading:1 basically:1 discussed:1 recently:1 thread:1 vaguely:1 remember:1 said:1 decide:1 correct:1 merging:1 sneakily:1 complete:1 keep:1 around:1 warrants:1 exception:1 corrupt:1 next:1 allow:1 corruption:1 spread:1 docs:1 causes:1 query:1 return:1 results:1 users:1 see:1 alternate:1 approach:1 place:1 messy:1 pos:1 rewire:1 great:1 cost:1 search:1 absolutely:1 keeping:1 forcing:1 thought:1 avoided:1 cover:1 level:1 metadata:1 written:1 reads:1 based:1 version:1 oh:1 due:1 aware:1 invalid:1 acronyms:1 acceptable:1 someone:1 guess:1 common:1 thing:1 heard:1 though:1 call:1 removed:1 carried:1 processes:1 ok:1 plan:1 commit:1 current:1 shortly:1 entry:1 explaining:1;2009-02-19T14:18:50.000+0000;2009-05-30T09:36:38.000+0000;;2.4;2.9;15;2009-05-06T09:51:35.458+0000;2009-05-30T09:22:07.432+0000;0;3;2009-05-28T14:56:28.373+0000;2009-05-29T10:42:51.211+0000;3;2009-05-28T14:56:28.373+0000;2009-05-29T10:42:51.211+0000;Reference:LUCENE-1465;Reference:LUCENE-1255
LUCENE;ASF;Apache Lucene Committee;database;LUCENE-1544;Major;Closed;dougsale;mikemccand;core/index;deadlock:1;segments:3 lock:3 thread:3 deadlock:2 test:2 write:2 main:2 issue:1 occurs:1 following:1 circumstances:1 true:1 directory:1 contains:1 multiple:1 invoked:1 put:1 together:1 recreates:1 attached:1 first:1 method:1 nutshell:1 happens:1 acquires:1 begins:1 optimization:1 destination:1 index:1 prior:1 adding:1 external:1 starts:1 merge:1 merging:1 tries:1 acquire:1 read:1 boolean:1 still:1 holds:1 waiting:1 data:1 structure:1 devoid:1 merges:1 optimize:1 flag:1 set:1;committed:2 revision:2 test:1 method:1 recreates:1 deadlock:1 patch:1 attached:1 changed:1 front:1 inside:1 followed:1 remove:1 true:1 case:1 greatly:1 simplify:1 iw:1 looking:1 forward:1 plan:1 commit:1 day:1 back:1 port:1 trunk:1 branch:1 thanks:1;2009-02-19T19:21:10.000+0000;2009-02-22T12:27:47.000+0000;;2.4;2.9 2.4.1;4;2009-02-19T19:23:53.345+0000;2009-02-22T12:27:47.982+0000;0;2;2009-02-19T19:23:53.257+0000;2009-02-19T23:40:36.489+0000;1;2009-02-19T23:40:36.489+0000;2009-02-19T23:40:36.489+0000;;
